id,projectNumber,dateModified,title,description,status,start,end,countries,executingAgencyPartner,DACSectors,maximumContribution,ContributingOrganization,expectedResults,resultsAchieved,aidType,collaborationType,financeType,flowType,reportingOrganisation,programName,selectionMechanism,policyMarkers,regions,alternameImPositions,budgets,Locations,otherIdentifiers,participatingOrgs,programDataStructure,relatedActivities,transactions
352,CA-3-A033431001,2025-03-04T06:33:31,Elections Support Project in Cambodia,"The goal of the project is to support Cambodia's efforts to conduct free, fair, and transparent democratic elections. The purpose of the Project is to strengthen the capacity of Cambodia's electoral institutions (such as the National Election Committee - NEC) to create an enabling environment for free and fair elections at the national and local levels.   In addition to supporting event-related electoral assistance, this project supports the evolution of democratic values and information, empowering citizens to exercise their civic rights and understand their obligations as per the Cambodian Constitution. This project also provides space for dialogue between the government, political parties, and civil society, fostering better understanding and political tolerance resulting in greater focus on forward progress and a better environment for democracy to strive.   There are three complementary components to this project: (1) strengthening democracy and electoral processes in Cambodia, (2) supporting 2007 commune council elections, and (3) supporting 2008 national elections.",Closed,2007-03-19T00:00:00,2008-12-31T00:00:00,"[""Cambodia 100.00%""]",UNDP - United Nations Development Programme ,"[""Democratic participation and civil society 15.00%"", ""Elections 85.00%""]",4000000.00,,,"Results achieved as of the end of the project include: Increased capacity within Cambodia’s electoral institutions to generate voter education material, such as visual and audio information materials developed for the 2007 and 2008 elections, including 200,000 posters for the 2008 election; increased civic engagement and citizen participation and improved interaction between government, elected officials, civil society, and citizens; enhanced capacity of provincial electoral commissions and communal election commissions through training provided to more than 20,000 grassroots electoral stakeholders; distribution of over 8 million voter ID cards during the 2008 election; and enhanced access to information about the electoral process and development issues through independent reporting, including the production and airing of 48 one-hour current affairs programs and enhanced issue based dialogue between different parties. The 2008 election in Cambodia was well organized and conducted in a relatively peaceful and calm atmosphere, with less violence and fewer complaints than in previous years. The vast majority of Cambodia’s registered voters were able to openly express their political will.",Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,OGM Indo-Pacific,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1700000.00"", ""1700000.00"", ""600000.00""]","[""11.56245 104.91601""]","[""2007000084""]","[""UNDP - United Nations Development Programme ""]",,,"[""4000000.00"", ""700000.00"", ""1000000.00"", ""700000.00"", ""-700000.00"", ""700000.00"", ""1000000.00"", ""600000.00""]"
353,CA-3-A033435001,2025-03-04T06:33:31,Equality Between Women and Men Action Plan Support,"To mainstream the equality between women and men dimension more effectively in the cooperation program between Canada and Cameroon, CIDA has developed an action plan. The support project covers the financial needs of the equality between women and men action plan, making it possible to carry out the following activities: capacity building of the program’s partners in equality between women and men; évaluation of the mainstreaming of equality between women and men in the cooperation program between Canada and Cameroon; facilitation of a working group among development partners on equality between women and men; and hiring of a local resource person as a equality between women and men specialist.",Closed,2007-03-30T00:00:00,2011-12-30T00:00:00,"[""Cameroon 100.00%""]",Uncoded,"[""Environmental policy and administrative management 100.00%""]",498775.65,,,"Results achieved as of the end of the project (September 2010) include: Cameroon has made significant progress in integrating gender perspectives into its national policies, programs, projects, and budgets. Gender considerations are thus now integrated into Cameroon's vision paper for 2035 and into its growth and employment strategy paper. National budgets for the 2010 fiscal year also integrate gender considerations, thanks to the training provided through the project for all officials involved in the national budgeting chain, especially parliamentarians and the officials responsible for developing and controlling the government's capital expenditures budget.",Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,WGM Africa,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""130000.00"", ""240000.00"", ""130000.00""]","[""3.86667 11.51667""]","[""2006000546""]","[""Uncoded""]",,,"[""498775.65""]"
354,CA-3-A033450001,2025-03-04T06:33:31,Sexual and Reproductive Health Care - Phase II,"This project is a continuation of Sexual and Reproductive Health Care - Phase I. <p> With the assistance of CIDA, the United Nations Fund for Population (UNFPA) worked with Guatemala's Ministry of Health and Guatemalan civil society to increase the demand for, supply of, access to, and quality of reproductive health care services for all Guatemalans. <p> Guatemala's maternal mortality rate is among the highest in Latin America. Conditions in rural areas and the dispersion of Guatemalan communities limit availability and access to health care services. In order to reduce maternal mortality and provide quality reproductive health care, UNFPA works in close collaboration with the Ministry of Health to increase its capacity to: <br> (i) deliver quality and culturally sensitive sexual and reproductive health care services, including family planning and counselling; <br> (ii) manage the contraceptive needs of the country by increasing its capacity to plan and pay for contraceptive procurement and distribution; <br> (iii) undertake educational campaigns with medical and nursing schools; <br> (iv) organize information campaigns with the public at large through radio programming; and <br> (v) strengthen the capacity of local health clinics to manage the contraceptive supply and stock of the Ministry of Health, increasing its capacity to analyse and project demand.",Closed,2007-03-07T00:00:00,2009-02-26T00:00:00,"[""Guatemala 100.00%""]",UNFPA - United Nations Population Fund ,"[""Population policy and administrative management 25.00%"", ""Reproductive health care 25.00%"", ""Family planning 25.00%"", ""Personnel development for population and reproductive health 25.00%""]",2300000.00,,,"Results as of March 2011 (end of project) include: 1) During the implementation of the project the Ministry of Health continually maintained more than 85% of its health services supplied with at least three family planning methods. 2) The use of the planning methods offered by the Ministry’s service providers increased between 2002 and 2010 to 310%. 3) 4,899 people were trained in family planning during the project’s implementation. 4) 80% of Guatemala’s public health providers were trained on the Contraceptives Accessibility Law. 5) A specific budget line was created by the Health Ministry for the purchase of contraceptives. 6) At the beginning of the project in 2002, the Ministry of Health provided only 5% of the financing for the purchase of contraceptives. By the end of the project, they now finance 100% of the purchase. At the end of the project, Guatemalans now have better access to reproductive health care services.",Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1965000.00"", ""335000.00""]","[""14.64072 -90.51327""]","[""2007000086""]","[""UNFPA - United Nations Population Fund ""]",,,"[""2300000.00"", ""1965000.00"", ""335000.00""]"
355,CA-3-A033455001,2025-03-04T06:33:31,Development and Employment Fund - Phase II (FODEM II),"The objective of the Development and Employment Fund - Phase II (FODEM II) was to contribute directly to reducing the effects of poverty and social conflict in target communities. This objective was achieved by funding small-scale productive investments, social infrastructure, and water supply and sanitation services. The initiatives funded were mainly executed using a labour-intensive approach that generated jobs and increased income for recipients.   After the earthquake on January 12, 2010, six local funds in Haiti, including this one, were realigned to support rapid recovery projects that respond to the immediate needs of Haitians affected by the earthquake in the communes of Léogâne and Jacmel, displaced persons and host communities in the Central and Artibonite departments, and relief support for initiatives in Port-au-Prince. Projects focused on children and youth, food security, and economic growth, in line with priorities set out in the Action Plan for National Recovery and Development of Haiti, and were implemented by locally-based Haitian organizations.",Closed,2006-12-11T00:00:00,2012-08-16T00:00:00,"[""Haiti 100.00%""]",Local Funds Management Center ,"[""Basic drinking water supply 10.00%"", ""Basic sanitation 10.00%"", ""Democratic participation and civil society 60.00%"", ""Agricultural development 20.00%""]",5689035.26,,,"Results achieved as of the end of the fund (March 2012) include: The fund financed 33 sub-projects, including 11 following the earthquake on January 12, 2010. Results achieved since the realignment of the fund following the earthquake include: 165 local craftsmen improved their skill set to response to the demand for assembling and maintaining fishing equipment; 2,000 students (1,085 girls and 915 boys) received hygiene kits to help prevent disease; 150 young people (50% women) benefited from psychosocial support that allowed them to pursue their daily activities following the earthquake; 150 displaced young people (50% women) benefited from vocational training in agricultural techniques; 25 hectares of land were put into production through the planting of 6,000 young fruit and forest trees, 11,000 young pineapple trees, and sugar cane plants, benefitting 450 households. These results contributed to early recovery following the earthquake.   Overall, the sub-projects supported through the fund have contributed to reducing the effects of poverty and social conflict in target communities in Haiti as well as early recovery following the earthquake.",Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""2500000.00"", ""2500000.00""]","[""18.53917 -72.335""]","[""2007000087""]","[""Local Funds Management Center ""]",,,"[""5689035.26""]"
356,CA-3-A033457001,2025-03-04T06:33:31,Basic Economic Infrastructure Rehabilitation I,"This project supports the Inter-American Development Bank's (IDB) Basic Economic Infrastructure Rehabilitation Program, with focus on initiatives in the Cap-Haïtien area that relate to roads. The IDB program finances infrastructure rehabilitation with a direct impact on local economic activity such as roads, bridges, ports, potable water services, waste management, public lighting, and public markets. By stimulating local economic activity, job creation, and access to basic public services, the program directly improves the quality of life for women and men living in the target regions. This project also supports the development and implementation of a plan to integrate gender equality measures into the IDB program.   This project is one of two parts of a $19.8 million contribution. It has been divided for administrative reasons.",Closed,2007-02-22T00:00:00,2013-04-30T00:00:00,"[""Haiti 100.00%""]",IDB - Inter-American Development Bank ,"[""Basic drinking water supply 15.00%"", ""Basic sanitation 15.00%"", ""Road transport 70.00%""]",19535653.06,,,"Results achieved by the project, which ended in March 2013, include: support to the Ministry of Public Works, Transport and Communications to carry out over 50 infrastructure projects, including repairs to the road between Limbé and Le Borgne, which directly serves 180,000 people living in three communes. This has cut travel time between the two cities from four hours to one hour, an important improvement in a country in which 30 to 40% of the agricultural output is lost due to poor storage and transport infrastructure.   The work to fix National Route 1 between Bon Repos and Carrefour St Médard has also been completed. This has resulted in better traffic flow and a three- or four-fold reduction in travel times on this kilometre-long stretch of road. National Route 1 is the primary access route to the north of the country and millions of vehicles regularly use the road.   Nearly 90% of the work to protect the watershed for the city of Cap-Haïtien has been completed.   These results have contributed to economic and social benefits for the people living in these areas. People have better access to services, and the markets are more competitive as a result of reduced travel times and fewer losses of life and goods due to poor road conditions.",Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""19500000.00"", ""300000.00""]","[""18.53917 -72.335""]","[""2007000088""]","[""IDB - Inter-American Development Bank ""]",,"[""CA-3-A033457002""]","[""19535653.06"", ""19500000.00""]"
357,CA-3-A033457002,2025-03-04T06:33:31,Basic Economic Infrastructure Rehabilitation II,"This project supports the Inter-American Development Bank's (IDB) Basic Economic Infrastructure Rehabilitation Program, with focus on initiatives in the Cap-Haïtien area that relate to roads. The IDB program finances infrastructure rehabilitation with a direct impact on local economic activity such as roads, bridges, ports, potable water services, waste management, public lighting, and public markets. By stimulating local economic activity, job creation, and access to basic public services, the program directly improves the quality of life for women and men living in the target regions. It also contributes to social stability in Haiti. This project also supports the development and implementation of a plan to integrate gender equality measures into the IDB program.   This project is one of two parts of a $19.8 million contribution. It has been divided for administrative reasons.",Closed,2007-01-12T00:00:00,2013-07-31T00:00:00,"[""Haiti 100.00%""]","Perrault, Michel J. ","[""Basic drinking water supply 15.00%"", ""Basic sanitation 15.00%"", ""Road transport 70.00%""]",18986.85,,,"Results achieved by the project, which ended in March 2013, include: support to the Ministry of Public Works, Transport and Communications to carry out over 50 infrastructure projects, including repairs to the road between Limbé and Le Borgne, which directly serves 180,000 people living in three communes. This has cut travel time between the two cities from four hours to one hour, an important improvement in a country in which 30 to 40% of the agricultural output is lost due to poor storage and transport infrastructure.   The work to fix National Route 1 between Bon Repos and Carrefour St Médard has also been completed. This has resulted in better traffic flow and a three- or four-fold reduction in travel times on this kilometre-long stretch of road. National Route 1 is the primary access route to the north of the country and millions of vehicles regularly use the road.   Nearly 90% of the work to protect the watershed for the city of Cap-Haïtien has been completed.   These results have contributed to economic and social benefits for the people living in these areas. People have better access to services, and the markets are more competitive as a result of reduced travel times and fewer losses of life and goods due to poor road conditions.",Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""17095.00"", ""1891.00""]","[""18.53917 -72.335""]","[""2011200035""]","[""Perrault, Michel J. ""]",,"[""CA-3-A033457001""]","[""18986.85""]"
358,CA-3-A033463001,2025-03-04T06:33:31,African Research Partnerships through the Africa Health Systems Initiative,"This project aims to support research partnerships between African and Canadian researchers to find solutions to Africa's human resources crisis and to strengthen health systems in Africa. The project seeks to demonstrate a clear link between research, policy, and action to improve the health of the most vulnerable populations in the region.   The project supports ten research teams based in seven countries in sub-Saharan Africa: Burkina Faso, Kenya, Malawi, Mali, Tanzania, Uganda and Zambia. The research teams are led jointly by an African researcher and an African decision-maker and include several Canadian researchers. The research focuses on the needs of disadvantaged segments of the population and studies: (1) how to recruit and retain health workers and shift certain services to less specialized health workers to address the severe human resources crisis in the health sector in sub-Saharan Africa; and (2) the role of health information in ensuring greater equity in access to health care.   This project is implemented by Canada’s Global Health Research Initiative (GHRI), an established collaborative mechanism made up of three Canadian agencies: the Canadian Institutes of Health Research (CIHR), the Department of Foreign Affairs, Trade and Development (DFATD), and the International Development Research Centre (IDRC). The GHRI is hosted at the International Development Research Centre (IDRC).   This project is the research component of the African Health Systems Initiative (AHSI), a ten-year, $450-million commitment (2006-2016) to strengthen health systems in sub-Saharan Africa.",Closed,2008-05-15T00:00:00,2015-02-02T00:00:00,,IDRC - International Development Research Centre ,"[""Health policy and administrative management 25.00%"", ""Medical research 50.00%"", ""Health personnel development 25.00%""]",4932896.09,,,"Results achieved as of the end of the project (March 2014) include: Five research projects influenced health policies: (i) Burkina Faso’s Ministry of Health relaxed restrictions affecting the mobility of regional health staff; (ii) the Nairobi City Commission strictly enforced the national policy of tuberculosis screening of pregnant women in programs to prevent mother to child transmission of HIV; (iii) Mali’s Ministry of Health included the development of telemedicine, the remote diagnosis and treatment of patients using telecommunications technology, in support of peripheral health units in its new five-year plan; (iv) Uganda’s Ministry of Health adopted the methodology for estimating the drug needs of village health teams and initiated the translation of the guidelines on integrated community case management (iCCM) into local languages to help volunteer community health workers provide vital child services in southwest Uganda; and (v) Kenya’s Ministry of Health included community-based health information systems as an official health strategy.   Two research projects influenced the curricula of medical institutions: (i) the Nurses and Midwives Council of Malawi accredited the Practical Approach to Lung Health Plus HIV/AIDS (PALM PLUS) clinical training program, which was piloted by the project and designed to integrate HIV/AIDS care with other primary care in the country, and the Malawi College of Medicine included the program in the fourth year curriculum of medical students on clinical rotation; and (ii) the School of Medicine and other health worker training institutions in Zambia are adopting a competency-based approach.   Three research teams achieved international recognition in their respective fields: one in Kenya for community-based health information systems; one inTanzania for its work in community- based ophthalmology, and one in Mali for telemedicine and e-health. Additionally, the Kenya, Malawi, Tanzania and Zambia research teams are participating in national thematic working groups or technical committees linked to their respective Ministries of Health. Seven teams secured CAD$8.3M in additional external funding for health systems research.   Two supplements featuring the project-supported research studies in human resources for health and equity in health service delivery are published on BioMed Central’s Open Access.",Other technical assistance,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,WGM Africa,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]","[""Africa, regional""]",,"[""1475000.00"", ""1175000.00"", ""1175000.00"", ""1175000.00""]","[{""geoName"": ""6255146"", ""SRSName"": ""http://www.opengis.net/def/crs/EPSG/0/4326""}]","[""2007000632""]","[""IDRC - International Development Research Centre ""]",,,"[""4932896.09"", ""650000.00"", ""684592.00"", ""360462.00"", ""78893.00"", ""940585.00"", ""363045.00"", ""597345.00"", ""358475.00"", ""147330.00"", ""319273.00"", ""500000.00"", ""-57277.00"", ""-57227.00"", ""57277.00"", ""-9876.91""]"
359,CA-3-A033468001,2025-03-04T06:33:31,Caribbean Regional Technical Assistance Centre - Phase III,The Caribbean Regional Technical Assistance Centre (CARTAC) provides technical assistance and training to Caribbean countries in core areas of economic and financial managment. CARTAC focuses on improving the ways Caribbean countries collect and increase tax revenues and ensuring that these revenues are better controlled through effective public expenditure. CARTAC is supported by multiple donors.   This project is implemented by the International Monetary Fund (IMF) with CIDA funds administered by the United Nations Development Program (UNDP).,Closed,2008-03-03T00:00:00,2010-03-09T00:00:00,,UNDP - United Nations Development Programme ,"[""Public sector policy and administrative management 50.00%"", ""Public finance management 50.00%""]",25000000.00,,,"Results as of March 31, 2011 (end of project) include: five countries have introduced simpler and more efficient value-added taxes (VAT); six countries are modernizing their customs systems and procedures using risk management techniques resulting in trade facilitation; eight countries have adopted public financial management reform action plans; two countries have adopted a global approach to fiscal management, including developing medium-term targeted fiscal frameworks. CARTAC also supported bank supervision and bank stress testing in the Eastern Caribbean Currency Union (ECCU - eight countries) and three other countries, insurance supervision in the ECCU, and supervision of credit unions in one country. CARTAC assisted the ECCU and Guyana to update the calculation of their national accounts.",Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]","[""America, regional""]",,"[""10000000.00"", ""5000000.00"", ""5000000.00""]","[{""geoName"": ""6255150"", ""SRSName"": ""http://www.opengis.net/def/crs/EPSG/0/4326""}]","[""2007000803""]","[""UNDP - United Nations Development Programme ""]",,,"[""25000000.00"", ""10000000.00"", ""5000000.00"", ""5000000.00"", ""5000000.00""]"
360,CA-3-A033475001,2025-03-04T06:33:31,Caribbean Catastrophe Risk Insurance Facility,"Following the devastation caused by natural disasters in the Caribbean in 2004, the Caribbean Community (CARICOM) member states asked the World Bank for assistance with gaining access to affordable and effective disaster risk financing arrangements. In response, the World Bank developed an insurance mechanism called the Caribbean Catastrophe Risk Insurance Facility (CCRIF). The CCRIF allows Caribbean countries to pool natural disaster risks, reduces the cost of insurance, and ensures swift payment of claims. It allows CARICOM governments to purchase insurance coverage akin to business interruption insurance that provides them with immediate liquidity in the event of a hurricane or earthquake. Because of the speed at which claim payments are processed, the instrument is particularly useful for financing immediate post-disaster recovery needs while the affected country seeks funds from other sources for longer-term reconstruction.",Closed,2007-04-05T00:00:00,2011-08-18T00:00:00,,Caribbean Development Bank ,"[""Reconstruction relief and rehabilitation 100.00%""]",25000000.00,,,"Results achieved as of the end of the project (March 2012) include: All 16 participating countries and territories have insurance policies from the Caribbean Catastrophe Risk Insurance Initiative (CCRIF). Seven countries received eight pay-outs from the CCRIF, totalling more than US$32 million, generally within two weeks of the disaster's occurrence (Dominica and Saint Lucia after an earthquake in 2007; Turks and Caicos Islands after a hurricane in 2008; Haiti following the 2010 earthquake; Anguilla after a hurricane in 2010; and Barbados, Saint Lucia and St.Vincent and the Grenadines following a hurricane in 2010). The 16 members have signed up to a total of 29 insurance policies each year. Based on operational experience and due to the overall prudence of CCRIF's financial position and risk assessment, premiums have been reduced three times. The CCRIF developed a real-time forecasting system for cyclones and has begun the development of a new insurance product for protection from excess rainfall. The CCRIF also launched a technical assistance program for Caribbean institutions. The program also funded member countries’ officials with bursaries for academic study and for attendance at technical workshops.",Basket funds/pooled funding,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]","[""America, regional""]",,"[""20000000.00""]","[{""geoName"": ""6255150"", ""SRSName"": ""http://www.opengis.net/def/crs/EPSG/0/4326""}]","[""2007000091""]","[""Caribbean Development Bank ""]",,,"[""25000000.00"", ""-20000000.00"", ""20000000.00"", ""20000000.00"", ""1392297.50"", ""-26599.50"", ""-2698.50"", ""26599.50"", ""1621496.00"", ""1988905.00""]"
361,CA-3-A033494001,2025-03-04T06:33:31,Harmonized Support to Governance,"This project supports a more harmonized approach to donor assistance for decentralization in Indonesia. The project provides core funding for the multi-donor Decentralization Support Facility, which aims to make Indonesia's decentralized system for local governance and service delivery to the poor stronger and more effective.",Closed,2008-03-26T00:00:00,2008-03-28T00:00:00,"[""Indonesia 100.00%""]",IBRD Trust Funds - World Bank ,"[""Public sector policy and administrative management 80.00%"", ""Democratic participation and civil society 20.00%""]",500000.00,,,"Results achieved by the Decentralization Support Facility as of the end of the project (June 2011) include: an instrument for costing minimum service standards developed and implemented by seven Ministries; training provided for Alternative Mechanisms for Service Delivery in water supply, regional hospital services, and population administration; budget data for 481 districts (94% of all districts) recorded and 20 Ministry of Finance staff trained in conducting regional financial analysis; national government regulations on local government borrowing revised; modules for monitoring and evaluation of government pro-poor special allocation funds completed; training courses for 68 legislative members on budgeting and oversight provided. Overall, CIDA’s contribution is helping to improve Indonesia’s decentralized system of local governance and service delivery for the poor.",Basket funds/pooled funding,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,OGM Indo-Pacific,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""500000.00""]","[""-6.21462 106.84513""]",,"[""IBRD Trust Funds - World Bank ""]",,,"[""500000.00"", ""500000.00""]"
362,CA-3-A033504001,2025-03-04T06:33:31,Early Childhood Development Support,"This project aims to strengthen the capacity of selected non-governmental and civil society organizations to improve the quality of, and access to, early childhood development services for poor families in Bangladesh. Early childhood development supports children's social, physical, emotional, and cognitive development from birth to entry into primary school. The project introduces a new and more comprehensive approach to early childhood development in Bangladesh, one that focuses on enhanced child and family health and well-being, stronger parenting skills for adolescent mothers, as well as increased readiness for primary school education.   Capacity development activities in early childhood development services include: technical assistance linked to organizational needs assessments; staff training and professional development; study tours to regional and Canadian programs; action research and dissemination of results; multi-stakeholder workshops; and opportunities for policy dialogue.",Operational,2008-03-04T00:00:00,2014-07-31T00:00:00,"[""Bangladesh 100.00%""]",Aga Khan Foundation Canada ,"[""Early childhood education 100.00%""]",8060107.55,,,"Results achieved as of September 2013 include: (1) 12 partner organizations are now better able to manage, design and deliver Early Childhood Development (ECD) education programs tailored to the needs of the poor. They have strengthened their abilities in organizational management, curriculum revision, production of training manuals and development of ECD learning materials, gender mainstreaming and monitoring and evaluation. (2) Sustainability plans have been created and all partners have mobilized their efforts to ensure that communities are engaged, resources are sought for centers to be sustained (where possible), and ECD knowledge is integrated in core programming. (3) In addition to sustaining existing centres, partner organizations established 126 preschools, 120 parenting programs, 36 child development centres and 74 factory-based childcare centres, and put a particular focus on monitoring, quality improvement, and the creation of linkages with other educators. (4) Of the 74 factory-based childcare centers, 43 have been handed over to factory management. (5) A total of 11,214 girls and 10,490 boys have graduated from the ECD education program. And (6), in 2013, 7,350 learners continued their early childhood education in 36 Child Development Centres and 126 preschools.   These results have contributed to improving the ability of 12 partner organizations to deliver quality early childhood education for children in four regions of Bangladesh.",Donor country personnel,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,OGM Indo-Pacific,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1000000.00"", ""1700000.00"", ""1800000.00"", ""1500000.00"", ""1500000.00"", ""750000.00""]","[""24.89904 91.87198"", ""24.53333 92.05"", ""22.13333 90.13333"", ""22.15672 90.11758""]","[""2007000805""]","[""Aga Khan Foundation Canada ""]",,,"[""8060107.55"", ""430000.00"", ""339881.00"", ""407487.00"", ""552418.00"", ""555623.00"", ""658680.00"", ""628542.00"", ""261952.00"", ""400849.00"", ""206507.00"", ""145000.00"", ""713090.00"", ""319336.00"", ""387342.00"", ""264382.00"", ""994949.00"", ""120669.00"", ""154964.00"", ""58329.00"", ""400000.00"", ""-400000.00"", ""400000.00""]"
